Company Name,Founded Year,HQ,Industry,Total Funding,ARR,Valuation,Employees,Top Investors,Product,G2 Rating,Ticker,Exchange,Status,Notes,total_funding_usd,arr_usd,industry_bucket
Atlassian,2002,"Sydney, Australia",Collaboration Software,$60M,$3.5B,$55B,"11,800",Accel Partners,"Jira, Confluence, Trello",4.3,TEAM,NASDAQ,Public,,60000000.0,3500000000.0,Collaboration & Productivity
Snowflake,2012,"Bozeman, MT, USA",Data Warehousing,$1.4B,$2.8B,$75B,"6,500","Sequoia, ICONIQ, Altimeter",Cloud Data Platform,4.4,SNOW,NYSE,Public,,1400000000.0,2800000000.0,"Data, Analytics & AI"
HubSpot,2006,"Cambridge, MA, USA",Marketing & Sales,$100.5M,$2.2B,$32B,"7,600","General Catalyst, Google Ventures","Marketing Hub, Sales Hub",4.4,HUBS,NYSE,Public,,100500000.0,2200000000.0,"Marketing, Sales & CX"
DocuSign,2003,"San Francisco, CA, USA",Digital Agreements,$514.3M,$2.5B,$10B,"7,336","Kleiner Perkins, Accel","eSignature, Contract Lifecycle",4.5,DOCU,NASDAQ,Public,,514299999.99999994,2500000000.0,Collaboration & Productivity
Slack,2009,"San Francisco, CA, USA",Team Communication,$1.4B,$1.7B,$27.7B (Salesforce),"2,545","Accel, Andreessen Horowitz",Team Messaging Platform,4.5,,,Private,Acquired by Salesforce 2021; formerly NYSE:WORK,1400000000.0,1700000000.0,Communications & Video
Notion,2013,"San Francisco, CA, USA",Productivity,$353M,$400M,$10B,800,"Index Ventures, Sequoia",All-in-one workspace,4.7,,,Private,,353000000.0,400000000.0,Collaboration & Productivity
Datadog,2010,"New York, NY, USA",Monitoring & Analytics,$147.9M,$2.1B,$44B,"5,200","ICONIQ, Index Ventures",Infrastructure Monitoring,4.4,DDOG,NASDAQ,Public,,147900000.0,2100000000.0,DevOps & IT Operations
MongoDB,2007,"New York, NY, USA",Database,$311.2M,$1.7B,$26B,"4,500","Sequoia, NEA, USV",Document Database Platform,4.5,MDB,NASDAQ,Public,,311200000.0,1700000000.0,"Data, Analytics & AI"
Okta,2009,"San Francisco, CA, USA",Identity Management,$230.5M,$2.2B,$25B,"5,900","Andreessen Horowitz, Greylock",Identity & Access Management,4.4,OKTA,NASDAQ,Public,,230500000.0,2200000000.0,Cybersecurity & Identity
Twilio,2008,"San Francisco, CA, USA",Communications,$261.3M,$4.1B,$12B,"7,867","Bessemer, Union Square",Communications APIs,4.3,TWLO,NYSE,Public,,261300000.0,4099999999.9999995,Communications & Video
Stripe,2010,"San Francisco, CA, USA",Payments,$8.7B,$14B,$65B,"8,000","Sequoia, Andreessen Horowitz",Payment Processing Platform,4.4,,,Private,No confirmed IPO plans as of mid-2026,8700000000.0,14000000000.0,Fintech & Payments
Square,2009,"San Francisco, CA, USA",Payments,$590.5M,$19.7B,$85B,"8,500","Khosla Ventures, Sequoia",Payment & POS Solutions,4.2,XYZ,NYSE,Public,Block Inc; ticker changed from SQ to XYZ Jan 2025,590500000.0,19700000000.0,Fintech & Payments
Palantir,2003,"Denver, CO, USA",Data Analytics,$2.6B,$2.2B,$52B,"3,500","Founders Fund, In-Q-Tel",Data Integration Platform,4.0,PLTR,NASDAQ,Public,,2600000000.0,2200000000.0,"Data, Analytics & AI"
Canva,2013,"Sydney, Australia",Design,$572.6M,$2B,$40B,"3,500","Sequoia, Bessemer, Bond",Design Platform,4.7,,,Private,,572600000.0,2000000000.0,Design & Creative
Monday.com,2012,"Tel Aviv, Israel",Work Management,$234.1M,$736M,$14B,"1,900","Sapphire Ventures, Insight",Work OS Platform,4.6,MNDY,NASDAQ,Public,,234100000.0,736000000.0,Collaboration & Productivity
Asana,2008,"San Francisco, CA, USA",Work Management,$453.2M,$652M,$5.5B,"1,600","Benchmark, Founders Fund",Work Management Platform,4.3,ASAN,NYSE,Public,,453200000.0,652000000.0,Collaboration & Productivity
Airtable,2012,"San Francisco, CA, USA",Database/Spreadsheet,$735.1M,$500M,$11B,900,"Benchmark, Thrive Capital",Low-code Database Platform,4.6,,,Private,,735100000.0,500000000.0,"Data, Analytics & AI"
Figma,2012,"San Francisco, CA, USA",Design,$332.9M,$600M,$20B (Adobe),"1,300","Index Ventures, Greylock",Collaborative Design Tool,4.7,FIG,NYSE,Public,IPO July 31 2025,332900000.0,600000000.0,Design & Creative
GitLab,2011,"San Francisco, CA, USA",DevOps,$435.6M,$580M,$8B,"2,300","ICONIQ, Goldman Sachs",DevOps Platform,4.5,GTLB,NASDAQ,Public,,435600000.0,580000000.0,DevOps & IT Operations
Zendesk,2007,"San Francisco, CA, USA",Customer Service,$85.5M,$1.9B,$13.2B,"6,000","Benchmark, Matrix Partners",Customer Service Platform,4.3,,,Private,Taken private Nov 2022 (Hellman & Friedman/Permira); formerly NYSE:ZEN,85500000.0,1900000000.0,"Marketing, Sales & CX"
Box,2005,"Redwood City, CA, USA",Cloud Storage,$562.4M,$1B,$3.5B,"2,800","DFJ, NEA, Bessemer",Cloud Content Management,4.2,BOX,NYSE,Public,,562400000.0,1000000000.0,Collaboration & Productivity
Dropbox,2008,"San Francisco, CA, USA",Cloud Storage,$1.7B,$2.5B,$8.5B,"2,700","Sequoia, Accel, Index",Cloud Storage & Collaboration,4.4,DBX,NASDAQ,Public,,1700000000.0,2500000000.0,Collaboration & Productivity
Freshworks,2010,"San Mateo, CA, USA",Customer Engagement,$484.7M,$596M,$5.2B,"5,000","Accel, Sequoia Capital India",Customer Engagement Suite,4.4,FRSH,NASDAQ,Public,,484700000.0,596000000.0,"Marketing, Sales & CX"
Klaviyo,2012,"Boston, MA, USA",Marketing Automation,$778.2M,$698M,$9.5B,"1,500","Summit Partners, Accel",Email & SMS Marketing,4.6,KVYO,NYSE,Public,IPO Sep 2023,778200000.0,698000000.0,"Marketing, Sales & CX"
UiPath,2005,"New York, NY, USA",RPA,$2B,$1.3B,$7B,"4,013","Sequoia, Accel, IVP",Robotic Process Automation,4.5,PATH,NYSE,Public,,2000000000.0,1300000000.0,DevOps & IT Operations
Databricks,2013,"San Francisco, CA, USA",Data & AI,$3.5B,$1.6B,$43B,"5,000","Andreessen Horowitz, NEA",Unified Analytics Platform,4.5,,,Private,,3500000000.0,1600000000.0,"Data, Analytics & AI"
Confluent,2014,"Mountain View, CA, USA",Data Streaming,$455.9M,$773M,$9.1B,"2,500","Sequoia, Benchmark, Index",Data Streaming Platform,4.4,CFLT,NASDAQ,Public,,455900000.0,773000000.0,"Data, Analytics & AI"
HashiCorp,2012,"San Francisco, CA, USA",Infrastructure,$349.5M,$541M,$13B,"2,200","GV, Mayfield, IVP",Infrastructure Automation,4.6,,,Private,Acquired by IBM Feb 2025; formerly NASDAQ:HCP,349500000.0,541000000.0,DevOps & IT Operations
Elastic,2012,"Mountain View, CA, USA",Search & Analytics,$162M,$1.1B,$8B,"3,000","NEA, Benchmark, Index",Search & Analytics Platform,4.4,ESTC,NYSE,Public,,162000000.0,1100000000.0,"Data, Analytics & AI"
PagerDuty,2009,"San Francisco, CA, USA",Incident Response,$173.7M,$430M,$2.8B,"1,000","Andreessen Horowitz, Bessemer",Digital Operations Platform,4.3,PD,NYSE,Public,,173700000.0,430000000.0,DevOps & IT Operations
New Relic,2008,"San Francisco, CA, USA",Observability,$215M,$785M,$6.5B,"2,300","Benchmark, Trinity, Tenaya",Observability Platform,4.3,,,Private,Acquired by Francisco Partners/TPG Nov 2023; formerly NYSE:NEWR,215000000.0,785000000.0,DevOps & IT Operations
Splunk,2003,"San Francisco, CA, USA",Data Analytics,$40M,$3.7B,$28B (Cisco),"8,000","August Capital, JK&B Capital",Data Platform,4.4,,,Private,Acquired by Cisco Mar 2024; formerly NASDAQ:SPLK,40000000.0,3700000000.0,"Data, Analytics & AI"
Cloudflare,2009,"San Francisco, CA, USA",Web Infrastructure,$332.1M,$1.6B,$28B,"3,266","NEA, Venrock, Union Square",Web Performance & Security,4.7,NET,NYSE,Public,,332100000.0,1600000000.0,DevOps & IT Operations
SendGrid,2009,"Denver, CO, USA",Email Delivery,$81M,$200M,$3B (Twilio),600,"Bessemer, Foundry Group",Email Delivery Platform,4.0,,,Private,Acquired by Twilio 2019; formerly NYSE:SEND,81000000.0,200000000.0,Communications & Video
Mailchimp,2001,"Atlanta, GA, USA",Email Marketing,$0,$1B,$12B (Intuit),"1,200",Bootstrapped,Marketing Platform,4.3,,,Private,Acquired by Intuit 2021; never public,0.0,1000000000.0,"Marketing, Sales & CX"
Miro,2011,"San Francisco, CA, USA",Collaboration,$476.3M,$400M,$17.5B,"1,800","ICONIQ, Accel, GV",Visual Collaboration Platform,4.7,,,Private,,476300000.0,400000000.0,Collaboration & Productivity
Grammarly,2009,"San Francisco, CA, USA",Writing Assistant,$400M,$300M,$13B,600,"General Catalyst, IVP",AI Writing Assistant,4.6,,,Private,,400000000.0,300000000.0,Collaboration & Productivity
Calendly,2013,"Atlanta, GA, USA",Scheduling,$350.6M,$100M,$3B,700,"OpenView, ICONIQ",Scheduling Platform,4.7,,,Private,,350600000.0,100000000.0,Collaboration & Productivity
Intercom,2011,"San Francisco, CA, USA",Customer Messaging,$240.7M,$200M,$1.3B,800,"Kleiner Perkins, Bessemer",Customer Messaging Platform,4.4,,,Private,,240700000.0,200000000.0,"Marketing, Sales & CX"
Segment,2012,"San Francisco, CA, USA",Customer Data,$284M,$200M,$3.2B (Twilio),600,"Accel, GV, Kleiner Perkins",Customer Data Platform,4.5,,,Private,Acquired by Twilio 2020; never public,284000000.0,200000000.0,"Marketing, Sales & CX"
Auth0,2013,"Bellevue, WA, USA",Identity,$330M,$200M,$6.5B (Okta),850,"Bessemer, Sapphire",Identity Platform,4.4,,,Private,Acquired by Okta 2021; never public,330000000.0,200000000.0,Cybersecurity & Identity
Looker,2012,"Santa Cruz, CA, USA",Business Intelligence,$281.5M,$150M,$2.6B (Google),800,"CapitalG, Kleiner Perkins",Data Platform,4.4,,,Private,Acquired by Google Cloud 2020; never public,281500000.0,150000000.0,"Data, Analytics & AI"
Amplitude,2012,"San Francisco, CA, USA",Product Analytics,$336M,$233M,$4B,700,"Sequoia, IVP, Battery",Product Analytics Platform,4.5,AMPL,NASDAQ,Public,,336000000.0,233000000.0,"Data, Analytics & AI"
Mixpanel,2009,"San Francisco, CA, USA",Product Analytics,$77M,$100M,$1.05B,300,"Andreessen Horowitz, Sequoia",Product Analytics,4.4,,,Private,,77000000.0,100000000.0,"Data, Analytics & AI"
Sumo Logic,2010,"Redwood City, CA, USA",Log Management,$235M,$299M,$2.3B,750,"Accel, DFJ, Greylock",Cloud Log Management,4.2,,,Private,Taken private 2023 (Francisco Partners); formerly NASDAQ:SUMO,235000000.0,299000000.0,DevOps & IT Operations
Zscaler,2008,"San Jose, CA, USA",Cloud Security,$148M,$1.6B,$30B,"5,000","TPG, Lightspeed",Cloud Security Platform,4.4,ZS,NASDAQ,Public,,148000000.0,1600000000.0,Cybersecurity & Identity
CrowdStrike,2011,"Austin, TX, USA",Cybersecurity,$481M,$3.1B,$70B,"7,900","Warburg Pincus, Accel",Endpoint Security Platform,4.7,CRWD,NASDAQ,Public,,481000000.0,3100000000.0,Cybersecurity & Identity
Palo Alto Networks,2005,"Santa Clara, CA, USA",Cybersecurity,$66.3M,$7.5B,$95B,"13,300","Sequoia, Greylock",Security Platform,4.5,PANW,NASDAQ,Public,,66300000.0,7500000000.0,Cybersecurity & Identity
RingCentral,2003,"Belmont, CA, USA",Communications,$44M,$2.2B,$5B,"3,600","Sequoia, Khosla, Scale",Cloud Communications,4.2,RNG,NYSE,Public,,44000000.0,2200000000.0,Communications & Video
Five9,2001,"San Ramon, CA, USA",Contact Center,$242M,$787M,$8B,"2,800","Adams Street, Partech",Contact Center Platform,4.3,FIVN,NASDAQ,Public,,242000000.0,787000000.0,"Marketing, Sales & CX"
Veeva Systems,2007,"Pleasanton, CA, USA",Life Sciences,$7M,$2.4B,$35B,"5,600",Emergence Capital,Life Sciences Cloud,4.3,VEEV,NYSE,Public,,7000000.0,2400000000.0,Vertical & Industry-Specific SaaS
Coupa,2006,"San Mateo, CA, USA",Spend Management,$169.5M,$725M,$8B (Thoma Bravo),"3,200","Battery, Crosslink",Business Spend Management,4.3,,,Private,Taken private 2023 (Thoma Bravo); formerly NASDAQ:COUP,169500000.0,725000000.0,Fintech & Payments
Bill.com,2006,"San Jose, CA, USA",Financial Operations,$402.7M,$900M,$9B,"2,500","Bank of America, TPG",Financial Operations Platform,4.3,BILL,NYSE,Public,,402700000.0,900000000.0,Fintech & Payments
Zoom Info,2007,"Vancouver, WA, USA",Sales Intelligence,$241.7M,$1.1B,$12B,"3,500","TA Associates, Carlyle",Go-to-Market Platform,4.4,GTM,NASDAQ,Public,Ticker changed from ZI to GTM in 2025,241700000.0,1100000000.0,"Marketing, Sales & CX"
Smartsheet,2005,"Bellevue, WA, USA",Work Management,$120.8M,$880M,$8.4B (Vista/Blackstone),"3,200","Insight Partners, Madrona",Work Management Platform,4.4,,,Private,Taken private late 2024/2025 (Blackstone/Vista); formerly NYSE:SMAR,120800000.0,880000000.0,Collaboration & Productivity
Qualtrics,2002,"Provo, UT, USA",Experience Management,$400M,$1.5B,$12.5B (Silver Lake),"5,300","Sequoia, Accel, Insight",Experience Management Platform,4.4,,,Private,Taken private 2023 (Silver Lake/CPP Investments); formerly NASDAQ:XM,400000000.0,1500000000.0,"Marketing, Sales & CX"
Wix,2006,"Tel Aviv, Israel",Website Building,$59M,$1.6B,$10B,"5,500","Benchmark, Bessemer",Website Builder Platform,4.2,WIX,NASDAQ,Public,,59000000.0,1600000000.0,E-commerce & Web
Toast,2011,"Boston, MA, USA",Restaurant Tech,$902M,$3.9B,$20B,"4,500","TCV, Tiger Global",Restaurant Management Platform,4.3,TOST,NYSE,Public,,902000000.0,3900000000.0,Vertical & Industry-Specific SaaS
Gong,2015,"San Francisco, CA, USA",Revenue Intelligence,$584M,$250M,$7.3B,"1,300","Sequoia, Coatue, Thrive",Revenue Intelligence Platform,4.7,,,Private,,584000000.0,250000000.0,"Marketing, Sales & CX"
Outreach,2014,"Seattle, WA, USA",Sales Engagement,$489M,$200M,$4.4B,"1,000","Lone Pine, Meritech, Spark",Sales Engagement Platform,4.3,,,Private,,489000000.0,200000000.0,"Marketing, Sales & CX"
Salesloft,2011,"Atlanta, GA, USA",Sales Engagement,$245M,$200M,$2.3B,900,"Insight Partners, HarbourVest",Sales Engagement Platform,4.4,,,Private,,245000000.0,200000000.0,"Marketing, Sales & CX"
Braze,2011,"New York, NY, USA",Customer Engagement,$175M,$420M,$5.6B,"1,300","Spark Capital, NEA",Customer Engagement Platform,4.5,BRZE,NASDAQ,Public,,175000000.0,420000000.0,"Marketing, Sales & CX"
LaunchDarkly,2014,"Oakland, CA, USA",Feature Management,$330M,$100M,$3B,350,"Bessemer, Redpoint",Feature Management Platform,4.7,,,Private,,330000000.0,100000000.0,DevOps & IT Operations
Gusto,2011,"San Francisco, CA, USA",HR & Payroll,$516M,$500M,$9.5B,"2,500","General Catalyst, CapitalG",HR & Payroll Platform,4.5,,,Private,,516000000.0,500000000.0,HR & People Ops
Rippling,2016,"San Francisco, CA, USA",HR & IT,$1.2B,$350M,$13.5B,"2,000","Founders Fund, Greenoaks",Employee Management Platform,4.8,,,Private,,1200000000.0,350000000.0,HR & People Ops
Carta,2012,"San Francisco, CA, USA",Equity Management,$1.1B,$300M,$7.4B,"1,600","Andreessen Horowitz, Lightspeed",Equity Management Platform,4.4,,,Private,,1100000000.0,300000000.0,Fintech & Payments
Plaid,2013,"San Francisco, CA, USA",Financial APIs,$734M,$400M,$13.4B,800,"NEA, Spark Capital",Financial Data Platform,4.5,,,Private,,734000000.0,400000000.0,Fintech & Payments
Marqeta,2010,"Oakland, CA, USA",Card Issuing,$528M,$717M,$4.3B,900,"ICONIQ, Goldman Sachs",Card Issuing Platform,4.3,MQ,NASDAQ,Public,,528000000.0,717000000.0,Fintech & Payments
Affirm,2012,"San Francisco, CA, USA",BNPL,$1.5B,$1.6B,$12B,"2,500","Founders Fund, Lightspeed",Buy Now Pay Later Platform,4.1,AFRM,NASDAQ,Public,,1500000000.0,1600000000.0,Fintech & Payments
Ramp,2019,"New York, NY, USA",Expense Management,$1.2B,$300M,$8.1B,500,"Thrive Capital, Founders Fund",Finance Platform,4.8,,,Private,,1200000000.0,300000000.0,Fintech & Payments
Brex,2017,"San Francisco, CA, USA",Corporate Cards,$1.5B,$400M,$12.3B,"1,100","DST Global, Ribbit Capital",Financial Platform,4.6,,,Private,,1500000000.0,400000000.0,Fintech & Payments
Navan,2015,"Palo Alto, CA, USA",Travel & Expense,$1.5B,$400M,$9.2B,"2,500","Andreessen Horowitz, Addition",Travel & Expense Platform,4.7,,,Private,Formerly TripActions,1500000000.0,400000000.0,Fintech & Payments
Benchling,2012,"San Francisco, CA, USA",Life Sciences R&D,$425M,$100M,$6.1B,600,"Altimeter, Lux Capital",Life Sciences R&D Platform,4.6,,,Private,,425000000.0,100000000.0,Vertical & Industry-Specific SaaS
Celonis,2011,"Munich, Germany",Process Mining,$1.4B,$600M,$13B,"3,000","Arena Holdings, Durable Capital",Process Mining Platform,4.5,,,Private,,1400000000.0,600000000.0,"Data, Analytics & AI"
Redis,2011,"Mountain View, CA, USA",Database,$347M,$100M,$2B,800,"Tiger Global, Softbank",In-Memory Database,4.5,,,Private,,347000000.0,100000000.0,"Data, Analytics & AI"
Algolia,2012,"San Francisco, CA, USA",Search & Discovery,$334M,$100M,$2.3B,700,"Accel, Salesforce Ventures",Search & Discovery API,4.6,,,Private,,334000000.0,100000000.0,"Data, Analytics & AI"
Samsara,2015,"San Francisco, CA, USA",IoT,$930M,$856M,$12B,"2,100","Andreessen Horowitz, Tiger",Connected Operations Platform,4.4,IOT,NYSE,Public,,930000000.0,856000000.0,Vertical & Industry-Specific SaaS
Verkada,2016,"San Mateo, CA, USA",Physical Security,$460M,$400M,$3.2B,"1,600","Sequoia, Felicis",Cloud Security Platform,4.7,,,Private,,460000000.0,400000000.0,Cybersecurity & Identity
JFrog,2008,"Sunnyvale, CA, USA",DevOps,$228.5M,$265M,$5.7B,"1,000","Insight Partners, Qumra",DevOps Platform,4.4,FROG,NASDAQ,Public,,228500000.0,265000000.0,DevOps & IT Operations
Netskope,2012,"Santa Clara, CA, USA",Cloud Security,$1.4B,$500M,$7.5B,"2,500","Sequoia, Lightspeed",SASE Platform,4.6,NTSK,NASDAQ,Public,IPO Sep 18 2025,1400000000.0,500000000.0,Cybersecurity & Identity
OneTrust,2016,"Atlanta, GA, USA",Privacy & Security,$920M,$500M,$5.3B,"2,500","Generation IM, Insight",Trust Intelligence Platform,4.3,,,Private,,920000000.0,500000000.0,Cybersecurity & Identity
Tanium,2007,"Kirkland, WA, USA",Endpoint Management,$1B,$500M,$9.5B,"2,000","Andreessen Horowitz, IVP",Endpoint Management Platform,4.2,,,Private,No S-1 filed as of mid-2026,1000000000.0,500000000.0,Cybersecurity & Identity
Rubrik,2014,"Palo Alto, CA, USA",Data Security,$750M,$600M,$6B,"2,600","Lightspeed, Greylock",Zero Trust Data Security,4.6,RBRK,NYSE,Public,IPO April 2024,750000000.0,600000000.0,Cybersecurity & Identity
AppDynamics,2008,"San Francisco, CA, USA",APM,$315M,$600M,$3.7B (Cisco),"2,000","Lightspeed, Greylock",Application Performance Monitoring,4.3,,,Private,Acquired by Cisco 2017 (withdrew IPO); never public,315000000.0,600000000.0,DevOps & IT Operations
Snyk,2015,"Boston, MA, USA",Developer Security,$1.4B,$200M,$7.4B,"1,300","Tiger Global, Accel",Developer Security Platform,4.5,,,Private,,1400000000.0,200000000.0,Cybersecurity & Identity
CircleCI,2011,"San Francisco, CA, USA",CI/CD,$315M,$100M,$1.7B,500,"IVP, DFJ Growth",CI/CD Platform,4.4,,,Private,,315000000.0,100000000.0,DevOps & IT Operations
ServiceTitan,2012,"Glendale, CA, USA",Field Service,$1.5B,$685M,$9.5B,"2,700","Tiger Global, Sequoia",Field Service Management,4.2,TTAN,NASDAQ,Public,IPO Dec 12 2024,1500000000.0,685000000.0,Vertical & Industry-Specific SaaS
Procore,2002,"Carpinteria, CA, USA",Construction,$899M,$943M,$9B,"3,200","Bessemer, Tiger Global",Construction Management Platform,4.5,PCOR,NYSE,Public,,899000000.0,943000000.0,Vertical & Industry-Specific SaaS
Automattic,2005,"San Francisco, CA, USA",Web Publishing,$987M,$400M,$7.5B,"2,000","Salesforce Ventures, Insight","WordPress.com, WooCommerce",4.4,,,Private,,987000000.0,400000000.0,E-commerce & Web
Vimeo,2004,"New York, NY, USA",Video Platform,$450M,$433M,$1.5B,"1,200","Thrive Capital, IAC",Video Platform,4.2,,,Private,Taken private by Bending Spoons late 2025; formerly NASDAQ:VMEO,450000000.0,433000000.0,Communications & Video
